id;title;numberOfPages;issn
127;2DTriPnP: A Robust Two-Dimensional Method for Fine Visual Localization Using Google Streetview Database.;102;2448-3434
128;The rise of multiple institutional affiliations in academia.;121;5076-2303
129;Author-choice open-access publishing in the biological and medical literature: A citation analysis.;115;1868-6472
130;Measuring metrics - a 40-year longitudinal cross-validation of citations, downloads, and peer review in astrophysics.;109;1604-5278
131;Assessing the value of a journal beyond the impact factor.;77;8582-3007
132;Quantitative robustness analysis of quantum programs.;117;3348-4970
133;An efficient algorithm for 3D hand gesture recognition using combined neural classifiers.;101;4916-8122
134;Medical image semantic segmentation based on deep learning.;76;3374-7254
135;Anatomical region identification in medical X-ray computed tomography (CT) scans: development and comparison of alternative data analysis and vision-based methods.;128;1088-3119
136;A Theory of Diversity.;147;2863-7060
137;On the number of monochromatic solutions of integer linear systems on Abelian groups.;99;4117-8766
138;Application of cover-free codes and combinatorial designs to two-stage testing.;77;8365-3711
139;Design of an enhanced message authentication scheme for smart grid and its performance analysis on an ARM Cortex-M3 microcontroller.;164;1537-2860
140;Java card technology and security.;87;1231-6267
141;Is there a Need for Survivable Computation in Critical Infrastructures?;56;7317-1466
142;On the Characterization of Input Sets as Output Sets.;68;3293-2809
143;Cellular automata with vanishing particles.;197;5259-3749
144;Comparison of SVM and LS-SVM for regression;82;3886-8274
145;Multilevel minimum cross entropy threshold selection based on the firefly algorithm.;142;5210-6682
146;Detection of illicit accounts over the Ethereum blockchain.;95;1575-7100
147;Measures and evaluation for environment watershed plans using a novel hybrid MCDM model.;68;4122-6882
148;A new perspective on fuzzy process capability indices: Robustness.;128;3291-2251
149;Sub-population genetic algorithm with mining gene structures for multiobjective flowshop scheduling problems.;152;2504-8891
150;Texture mapping on 3D surfaces using clustering-based cutting paths.;114;8534-3967
151;Online CQI-based optimization using k-means and machine learning approach under sparse system knowledge.;117;7369-5051
152;Reducing ICI effect in OFDM system using low-complexity Kalman filter based on comb-type pilots arrangement.;182;8072-2158
