id;title;numberOfPages;issn;width;height
109;Ethical Issues with Simulating the Bridge Problem in VR.;170;5770-7910;89;69
110;A Proposal to Detect the Double Submission of a Manuscript Sent for Review.;107;4462-6327;65;86
111;Influence of model validation on proper selection of process models - an industrial case study.;121;2700-8798;90;95
112;A novel unsupervised approach for batch process monitoring using deep learning.;189;6139-6879;67;59
113;A Local Clustering Algorithm for Connection Graphs.;186;6187-8560;52;88
114;Information Revelation, Incentives, and the Value of a Real Option.;113;1615-7565;81;91
115;Cost Drivers of Versioning: Pricing and Product Line Strategies for Information Goods.;50;5207-4663;98;83
116;A numerical study on effects of friction-induced thermal load for rail under varied wheel slip conditions.;126;8250-4630;86;83
117;Structured Markovian models for discrete spatial mobile node distribution.;141;5548-8075;66;95
118;Experimental evaluation of adaptive fuzzy-PID control for piezoelectric motor drive system.;82;4887-1764;60;55
119;Kranc: a Mathematica package to generate numerical codes for tensorial evolution equations.;130;6138-5679;78;96
120;Extending the range of real time density matrix renormalization group simulations.;178;4006-4874;66;81
121;Ground state of the time-independent Gross-Pitaevskii equation.;179;6799-4953;82;52
122;SPARC: Accurate and efficient finite-difference formulation and parallel implementation of Density Functional Theory: Extended systems.;184;8996-7979;65;64
123;A note on decisive symmetric games.;137;7167-3081;69;65
124;Do actions speak louder than voices? The signaling role of social information cues in influencing consumer purchase decisions.;102;5879-5022;66;81
125;Cyber-risk decision models: To insure IT or not?;164;6883-6270;99;56
126;Joint Feedback and Artificial Noise Design for Secure Communications Over Fading Channels Without Eavesdroppers CSI.;104;4508-7022;83;89
