id;title;numberOfPages;issn
163;An X- and Ku-Band 8-Element Phased-Array Receiver in 0.18-µm SiGe BiCMOS Technology.;58;4954-4637
164;DDJ-Adaptive SAR TDC-Based Timing Recovery for Multilevel Signaling.;83;2456-6828
165;A 1 mJ/Frame Unified Media Application Processor With Dynamic Analog-Digital Mode Reconfiguration for Embedded 3D-Media Contents Processing.;73;2785-4508
166;LDPC codes associated with linear representations of geometries.;58;6249-3311
167;Personalized Group Recommender Systems for Location- and Event-Based Social Networks.;195;2019-4691
168;Minding the gap: Applying a service marketing model into government policy communications.;169;8762-2092
169;A Novel Method for Low-Contrast and High-Noise Vessel Segmentation and Location in Venipuncture.;117;4826-2405
170;Analysis of batch Bernoulli process subject to discrete-time renewal generated binomial catastrophes.;154;2084-8428
171;AMVA-based solution procedures for open queueing networks with population constraints.;138;1363-8084
172;Global Convergence of Conjugate Gradient Methods without Line Search.;107;1879-6692
173;Static and dynamic resource allocation models for recovery of interdependent systems: application to the Deepwater Horizon oil spill.;111;7524-7331
174;The Multidimensional 0-1 Knapsack Problem - Bounds and Computational Aspects.;139;6905-6710
175;An Intelligent Dispatch System Operating in a Partially Closed Environment.;151;4967-8158
176;Large-scale software engineering questions expert opinion or empirical evidence?;149;3187-6681
177;Development of a single energy balance model for prediction of temperatures inside a naturally ventilated greenhouse with polypropylene soil mulch.;65;2168-7128
178;David Hamer, family man and enigma expert, remembered and missed.;121;4547-7313
179;A Regularization-Based Adaptive Test for High-Dimensional GLMs.;164;2142-8320
180;Superior Guarantees for Sequential Prediction and Lossless Compression via Alphabet Decomposition.;50;7650-7335
181;Evaluation in Natural Language Generation: Lessons from Referring Expression Generation.;112;3569-3723
182;SVM-KNN: Discriminative nearest neighbor classification for visual category recognition;68;6407-6108
183;Self-tuning PI rate controller for best-effort traffic with interval phase margin assignment.;122;5802-8351
184;Adaptive Topology Control with Link Quality Prediction for Underwater Sensor Networks.;135;1728-4113
185;A Study of Sea Surface Wind Vector Estimation From Near-Nadiral Cross-Track-Scanned Backscatter Data.;122;4613-4120
186;Two-Layered Protocol for a Large-Scale Group of Processes.;69;2775-1073
187;Distributed Individuals for Multiple Peaks: A Novel Differential Evolution for Multimodal Optimization Problems.;127;4301-8242
188;Automatic Design of a Hyper-Heuristic Framework With Gene Expression Programming for Combinatorial Optimization Problems.;126;7829-5473
189;Collective spatial keyword search on activity trajectories.;129;2359-2865
190;Windows Forensic Analysis Toolkit.;91;2351-7157
191;Social engineering today: psychology, strategies and tricks.;169;8271-5615
192;Business Method Patents and Sustained Competitive Advantage.;162;6626-4944
193;Analysis for REPERA: A Hybrid Data Protection Mechanism in Distributed Environment.;144;7568-2065
194;Retrocausality at no extra cost.;118;6918-2509
195;Learning stochastically stable Gaussian process state-space models.;67;2769-5501
196;DOA Estimation for Coherent Sources in Transformed Space.;121;4100-5160
